time;lat;lon;pr;tmax;tmin;ih
05-2000;-37,375;-72,925;92,490;15,549;5,409;3
05-2000;-37,375;-72,875;79,120;15,589;5,237;3
05-2000;-37,375;-72,825;67,670;15,674;5,009;3
05-2000;-37,375;-72,775;62,530;15,555;4,823;3
05-2000;-37,375;-72,725;60,130;15,470;4,585;3
05-2000;-37,375;-72,675;55,020;15,806;4,615;3
05-2000;-37,375;-72,625;51,140;15,860;4,454;3
05-2000;-37,375;-72,575;50,680;16,083;4,370;3
05-2000;-37,375;-72,525;47,840;16,085;4,439;3
05-2000;-37,375;-72,475;50,620;16,132;4,547;3
05-2000;-37,375;-72,425;53,170;16,013;4,638;3
05-2000;-37,375;-72,375;55,860;16,017;4,639;3
05-2000;-37,375;-72,325;59,260;16,106;4,528;3
05-2000;-37,375;-72,275;61,600;16,213;4,565;3
05-2000;-37,375;-72,225;63,030;16,225;4,584;3
05-2000;-37,375;-72,175;62,810;16,094;4,560;3
05-2000;-37,375;-72,125;62,440;15,778;4,535;3
05-2000;-37,375;-72,075;63,730;15,562;4,815;3
05-2000;-37,375;-72,025;65,240;15,829;4,918;3
05-2000;-37,375;-71,975;66,210;15,724;4,809;3
05-2000;-37,375;-71,925;68,710;15,286;4,457;3
05-2000;-37,375;-71,875;68,850;14,866;4,157;3
05-2000;-37,375;-71,825;73,020;14,427;3,979;3
05-2000;-37,375;-71,775;76,910;14,265;4,133;3
05-2000;-37,375;-71,725;75,250;14,140;4,124;3
05-2000;-37,375;-71,675;81,280;13,130;3,575;2
05-2000;-37,375;-71,625;104,030;12,107;1,914;2
05-2000;-37,375;-71,575;83,300;12,840;2,867;2
05-2000;-37,375;-71,525;80,980;12,547;2,446;2
05-2000;-37,375;-71,475;75,700;12,798;2,966;2
05-2000;-37,375;-71,425;85,500;11,551;1,382;2
05-2000;-37,375;-71,375;82,350;11,240;,797;2
05-2000;-37,375;-71,325;70,070;11,127;,560;2
05-2000;-37,375;-71,275;65,840;11,202;,545;2
05-2000;-37,375;-71,225;73,550;10,078;-,421;1
05-2000;-37,375;-71,175;69,810;9,931;-,970;1
05-2000;-37,375;-71,125;57,230;10,288;-,734;1
05-2000;-37,375;-71,075;59,190;10,673;-,721;1
05-2000;-37,375;-71,025;64,720;10,262;-1,389;1
05-2000;-37,375;-70,975;61,960;10,357;-1,709;1
05-2000;-37,325;-72,925;87,140;15,572;5,655;3
05-2000;-37,325;-72,875;76,730;15,679;5,355;3
05-2000;-37,325;-72,825;67,900;15,634;5,114;3
05-2000;-37,325;-72,775;62,100;15,713;4,952;3
05-2000;-37,325;-72,725;57,240;16,033;4,863;3
05-2000;-37,325;-72,675;55,810;15,963;4,695;3
05-2000;-37,325;-72,625;52,700;15,966;4,501;3
05-2000;-37,325;-72,575;52,770;15,916;4,670;3
05-2000;-37,325;-72,525;52,440;15,990;4,448;3
05-2000;-37,325;-72,475;53,440;16,038;4,491;3
05-2000;-37,325;-72,425;55,370;16,097;4,581;3
05-2000;-37,325;-72,375;57,420;16,123;4,608;3
05-2000;-37,325;-72,325;60,770;16,093;4,574;3
05-2000;-37,325;-72,275;63,110;16,118;4,491;3
05-2000;-37,325;-72,225;64,190;16,032;4,501;3
05-2000;-37,325;-72,175;63,190;15,987;4,533;3
05-2000;-37,325;-72,125;62,240;15,879;4,516;3
05-2000;-37,325;-72,075;63,410;15,776;4,731;3
05-2000;-37,325;-72,025;65,020;15,678;4,998;3
05-2000;-37,325;-71,975;64,460;15,698;5,103;3
05-2000;-37,325;-71,925;66,910;15,422;4,685;3
05-2000;-37,325;-71,875;70,730;14,753;4,165;3
05-2000;-37,325;-71,825;66,160;15,233;4,374;3
05-2000;-37,325;-71,775;64,590;15,357;4,430;3
05-2000;-37,325;-71,725;66,310;14,878;4,431;3
05-2000;-37,325;-71,675;69,410;14,853;4,373;3
05-2000;-37,325;-71,625;72,750;14,375;4,279;3
05-2000;-37,325;-71,575;69,360;14,060;4,085;3
05-2000;-37,325;-71,525;74,510;12,812;3,185;2
05-2000;-37,325;-71,475;90,350;11,247;1,150;2
05-2000;-37,325;-71,425;91,510;10,559;,505;1
05-2000;-37,325;-71,375;85,700;9,946;-,147;1
05-2000;-37,325;-71,325;67,320;10,504;,776;1
05-2000;-37,325;-71,275;65,880;10,676;,019;1
05-2000;-37,325;-71,225;76,720;9,906;-,981;1
05-2000;-37,325;-71,175;70,320;9,456;-1,261;1
05-2000;-37,325;-71,125;69,020;9,442;-1,264;1
05-2000;-37,325;-71,075;73,650;8,808;-1,749;1
05-2000;-37,325;-71,025;68,780;8,623;-2,571;1
05-2000;-37,325;-70,975;50,210;9,103;-2,040;1
05-2000;-37,275;-72,925;82,810;15,694;5,763;3
05-2000;-37,275;-72,875;72,380;15,836;5,612;3
05-2000;-37,275;-72,825;65,140;15,884;5,354;3
05-2000;-37,275;-72,775;63,150;15,609;5,067;3
05-2000;-37,275;-72,725;56,930;16,058;5,048;3
05-2000;-37,275;-72,675;55,250;16,049;4,815;3
05-2000;-37,275;-72,625;53,540;16,063;4,657;3
05-2000;-37,275;-72,575;55,390;16,194;4,727;3
05-2000;-37,275;-72,525;57,130;16,013;4,718;3
05-2000;-37,275;-72,475;56,120;16,215;4,550;3
05-2000;-37,275;-72,425;56,640;16,183;4,533;3
05-2000;-37,275;-72,375;58,210;16,167;4,534;3
05-2000;-37,275;-72,325;60,790;16,110;4,635;3
05-2000;-37,275;-72,275;64,180;15,944;4,564;3
05-2000;-37,275;-72,225;65,290;15,899;4,519;3
05-2000;-37,275;-72,175;64,160;15,825;4,550;3
05-2000;-37,275;-72,125;62,600;15,752;4,592;3
